constructor_id,team_colour,text_colour
ferrari,#E8002D,#FFFFFF
mclaren,#FF8000,#000000
williams,#64C4FF,#000000
red_bull,#3671C6,#FFFFFF
mercedes,#27F4D2,#000000
haas,#B6BABD,#000000
alpine,#0093CC,#FFFFFF
aston_martin,#229971,#FFFFFF
rb,#6692FF,#FFFFFF
cadillac,#2B2B2B,#FFFFFF
audi,#BB0A30,#FFFFFF
sauber,#52E252,#000000
alfa,#C92D4B,#FFFFFF
alphatauri,#5E8FAA,#FFFFFF
renault,#FFF500,#000000
racing_point,#F596C8,#000000
toro_rosso,#469BFF,#FFFFFF
force_india,#F596C8,#000000
manor,#6E0000,#FFFFFF
lotus_f1,#FFB800,#000000
caterham,#048646,#FFFFFF
marussia,#6E0000,#FFFFFF
hrt,#B2945E,#000000
lotus_racing,#046A38,#FFFFFF
virgin,#C80000,#FFFFFF
toyota,#CC0000,#FFFFFF
bmw_sauber,#0066CC,#FFFFFF
brawn,#D6FF00,#000000
super_aguri,#E40000,#FFFFFF
honda,#F5F5F5,#000000
spyker,#FF6600,#000000
spyker_mf1,#FF6600,#000000
mf1,#C8102E,#FFFFFF
jordan,#FFD100,#000000
minardi,#1E1E1E,#FFFFFF
bar,#F5F5F5,#000000
jaguar,#00543C,#FFFFFF
arrows,#FF8C00,#000000
benetton,#00A0DE,#FFFFFF
prost,#0033A0,#FFFFFF
stewart,#F5F5F5,#000000
tyrrell,#0A2A6B,#FFFFFF
ligier,#0055A4,#FFFFFF
footwork,#F5F5F5,#000000
forti,#FFD100,#000000
simtek,#7B3FA0,#FFFFFF
pacific,#1E3A8A,#FFFFFF
larrousse,#1F4E9E,#FFFFFF
team_lotus,#046A38,#FFFFFF
